title,artist,top genre,year,bpm,Energy,dnce,dB,live
"Hey, Soul Sister",Train,neo mellow,2010,97,89,67,-4,8
Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,75,-5,52
TiK ToK,Kesha,dance pop,2010,120,84,76,-3,29
Bad Romance,Lady Gaga,dance pop,2010,119,92,70,-4,8
Just the Way You Are,Bruno Mars,pop,2010,109,84,64,-5,9
Baby,Justin Bieber,canadian pop,2010,65,86,73,-5,11
Dynamite,Taio Cruz,dance pop,2010,120,78,75,-4,4
Secrets,OneRepublic,dance pop,2010,148,76,52,-6,12
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93,37,48,-8,12
Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79,-4,7
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128,87,62,-4,6
Marry You,Bruno Mars,pop,2010,145,83,62,-5,10
Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,82,77,-5,70
Telephone,Lady Gaga,dance pop,2010,122,83,83,-6,11
Like A G6,Far East Movement,dance pop,2010,125,84,44,-8,12
OMG (feat. will.i.am),Usher,atl hip hop,2010,130,75,78,-6,36
Eenie Meenie,Sean Kingston,dance pop,2010,121,61,72,-4,11
The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010,128,81,82,-8,60
Alejandro,Lady Gaga,dance pop,2010,99,80,63,-7,36
Your Love Is My Drug,Kesha,dance pop,2010,120,61,83,-4,9
Meet Me Halfway,The Black Eyed Peas,dance pop,2010,130,63,80,-7,32
Whataya Want from Me,Adam Lambert,australian pop,2010,186,68,44,-5,6
Take It Off,Kesha,dance pop,2010,125,68,73,-5,9
Misery,Maroon 5,pop,2010,103,81,70,-5,22
All The Right Moves,OneRepublic,dance pop,2010,146,95,53,-4,28
Animal,Neon Trees,indie pop,2010,148,83,48,-6,38
Naturally,Selena Gomez & The Scene,dance pop,2010,133,90,61,-5,5
I Like It,Enrique Iglesias,dance pop,2010,129,94,65,-3,6
Teenage Dream,Katy Perry,dance pop,2010,120,80,72,-5,13
California Gurls,Katy Perry,dance pop,2010,125,75,79,-4,18
3,Britney Spears,dance pop,2010,135,71,70,-2,14
